ds,yhat,yhat_lower,yhat_upper
2019-09-25,202024.31709040058,88996.93572183061,323602.2107102811
2019-09-26,288843.7239838565,180941.03516768417,408433.90009098395
2019-09-27,342331.6119743136,228427.01916783588,462717.9448958598
2019-09-28,309212.09448181506,197011.9895845457,428126.4772643243
2019-09-29,349749.6135281391,236454.48201426782,463894.5640657764
2019-09-30,287637.1757043796,169247.43556470438,403282.6095788387
2019-10-01,94958.19249530292,-17348.40094476167,206527.10518647375
2019-10-02,191401.39622460614,83686.84364188873,303546.46456018835
2019-10-03,272056.667947149,159321.44943871876,388437.0260607268
2019-10-04,319911.26648423774,206161.36727231144,434907.2490037485
2019-10-05,281837.57450946566,169550.5936293441,392039.87678787456
2019-10-06,318233.7621829238,193630.53450235823,431040.9718310785
2019-10-07,252908.0404395106,135771.13511094364,364580.3299500818
2019-10-08,58036.955090914445,-56456.98291006535,170921.77732088257
2019-10-09,153377.30349907506,36258.178462169046,269685.082346467
2019-10-10,234059.6065787758,117583.26115595769,353134.8977508948
2019-10-11,283082.70469981054,169415.5007056156,397265.29296850844
2019-10-12,247300.653055,137370.28531418476,364836.7776355244
2019-10-13,287063.35494312184,166739.43711658684,408053.6096958143
2019-10-14,226101.61986004675,113432.5205366582,336839.7165225946
2019-10-15,36487.08842330819,-71245.56783414436,150017.01974902587
2019-10-16,137846.5727546643,32085.86292340737,254071.7362836469
2019-10-17,225158.68858822034,119285.63189477912,338224.50166743074
2019-10-18,281252.26913690823,168377.56575290876,404613.1342716642
2019-10-19,252797.6376989797,137279.15816989786,359915.34567090403
2019-10-20,299952.061410551,189539.61255188056,414535.179320419
2019-10-21,246249.94269043146,135743.7788789976,361488.32074365875
2019-10-22,63568.04932194711,-62556.61339267469,166504.6828615168
2019-10-23,171345.18396352712,63624.84509593399,285369.1995714507
2019-10-24,264384.0189291721,147625.33555939214,372130.2521848035
2019-10-25,325354.4376014534,212824.64383750764,431542.22144701006
2019-10-26,300789.31683087174,189588.78682410312,406480.4627504665
2019-10-27,350733.9403411026,237649.10465903138,469301.0789610821
2019-10-28,298639.4814679646,178183.98649126978,410167.97954310814
2019-10-29,116330.75570136987,8776.959156692483,235045.09955420523
2019-10-30,223227.56416279427,116553.33451594602,339750.01749735494
2019-10-31,314147.29754714057,210098.21988504104,432499.5366580659
2019-11-01,371808.11079101975,256937.34989695452,494974.082583158
2019-11-02,342823.59808229917,230627.2741323489,459132.7853799837
2019-11-03,387350.1802762898,268492.5411308007,503315.67878460995
2019-11-04,328977.69150099216,217550.6725305208,437675.46395850705
2019-11-05,139693.43916906702,20039.42950278102,252187.46432654109
2019-11-06,239099.15569473818,127771.31221532829,356406.0151106325
2019-11-07,322208.6294782952,207449.3435236379,436125.56136008597
2019-11-08,371945.46113187645,265552.8473308313,484292.59055550717
2019-11-09,335132.0242284292,218839.00907226722,450027.98098829115
2019-11-10,372131.00211770873,257138.9740764366,491338.55277527426
2019-11-11,306730.1523886444,183214.4042156995,430414.6681362509
2019-11-12,111100.7386568725,-5570.7716099715135,226441.8299335201
2019-11-13,205009.20937582935,92557.1499077927,320439.1186917647
2019-11-14,283610.0639116238,165321.11095336368,390768.5352291026
2019-11-15,329939.49138945714,213094.14546323064,452687.11969710304
2019-11-16,290900.98386233964,175594.0292144851,404444.6681711638
2019-11-17,326904.39674694964,210092.23677829234,445587.9701028664
2019-11-18,261749.18553028506,148990.53419806805,386702.84661567176
2019-11-19,67582.30950644324,-47331.5371538432,187049.1920451382
2019-11-20,164110.40527637844,48961.26877361622,270635.78729969444
2019-11-21,246394.1643878693,134848.9163685217,360891.6492344602
2019-11-22,297344.46576320747,186203.84709693564,420309.3131294563
2019-11-23,263711.40142877144,139525.72042885004,373871.4721467584
2019-11-24,305727.5787877132,191049.84841200992,418535.73678112624
2019-11-25,246996.31448964542,129711.86115058116,361710.66608460573
2019-11-26,59455.07545791089,-52752.037393734,172346.78687346174
2019-11-27,162593.6170961871,55535.44790238327,272564.8568501508
2019-11-28,251254.5869995583,147752.27259961062,365155.0416018152
2019-11-29,308135.9700840402,194374.5993926361,416738.4506142571
2019-11-30,279786.3350972155,164115.26452467946,400118.4354140394
2019-12-01,326254.088457148,213205.4643577546,444440.43059478037
2019-12-02,270981.1794505742,159770.154402662,383177.8365787535
2019-12-03,85771.45251305962,-23495.18835170218,201997.59275330373
2019-12-04,190012.95255470002,80090.06914937781,304157.0413762948
2019-12-05,278481.82757148263,163233.82067760773,403790.8981019736
2019-12-06,333847.1039981281,220377.72564412362,438711.54970542405
2019-12-07,302667.220922802,190495.04719395319,414105.2000813171
2019-12-08,345039.48416092485,230180.72711679243,457812.4974190708
2019-12-09,284492.8695978882,165652.35372277477,392903.7947467327
2019-12-10,92954.38787085903,-21141.567103267047,205994.1510492294
2019-12-11,189968.36335817384,79947.36391582587,304078.4042341384
2019-12-12,270496.34829449677,154056.1264490367,390203.6536739011
2019-12-13,317417.0515842074,208633.60966906525,433146.92267617857
2019-12-14,277517.29737543396,167680.18976542397,394238.38091249095
2019-12-15,311135.3246203391,205012.813988959,425999.1636265932
2019-12-16,242047.0245022974,127220.5991331042,357931.7603731079
2019-12-17,42425.50783541103,-74239.96012088694,159612.84318884893
2019-12-18,132053.54308685183,17577.373669625165,247033.46889081303
2019-12-19,206116.77587866035,93140.46474821719,319019.3112807909
2019-12-20,247697.2966625592,139669.90947448747,358431.17116602644
2019-12-21,203758.75055040704,79056.907501438,323331.8708690483
2019-12-22,234784.46620317322,121949.28132202312,349526.6459162844
2019-12-23,164659.34838478462,57412.546202858066,269731.7314098277
2019-12-24,-34373.94814845186,-143550.4916230686,85055.3021090141
2019-12-25,57495.07701581207,-55909.681620966614,171277.09656503328
